Feat_00,Feat_01,Feat_02,Feat_03,CS_Ratio,ROS_Fe2O3,Temperature,Alkali_Consumption,Dissolution_Rate
0.12,-0.10,0.05,0.01,1.35,30.2,102.3,10.1,82.5
-0.05,0.20,-0.02,0.10,1.36,29.8,101.9,9.8,81.9
0.01,-0.03,0.07,-0.04,1.34,30.5,102.7,10.3,83.1
0.11,0.02,0.00,0.03,1.37,31.0,103.0,10.5,84.0
-0.09,0.05,-0.06,0.02,1.33,29.5,101.6,9.6,80.8
0.03,0.01,0.02,-0.01,1.35,30.1,102.1,10.0,82.2
-0.02,0.06,0.03,0.00,1.36,30.7,102.9,10.2,83.5
0.08,-0.04,0.01,0.05,1.34,29.9,101.8,9.9,81.7
0.00,0.00,-0.01,0.02,1.35,30.3,102.4,10.0,82.8
-0.04,0.03,0.04,-0.02,1.36,30.6,102.6,10.4,83.7
